Product Code,Product Description,Barcode,Category,Discount Type,New RRP,Net Cost
AYO8RP45SC,AYO 8MM ROTATING PANEL 450MM SILVER-R8MM (C),5099846050633,AYO 8MM ROTATING PANEL WETROOM RANGE,PriceRule,364.00,273.00
AYO8HRP50CBRBC,AYO 8MM HINGE ROTATING DEFLECTOR PANEL 500MM BRUSHED BRASS COMPLETE,,AYO 8MM ROTATING PANEL WETROOM RANGE,PriceRule,632.00,474.00
AYO8RP30SC,AYO 8MM ROTATING PANEL 300MM SILVER-R8MM (C),5099846050619,AYO 8MM ROTATING PANEL WETROOM RANGE,PriceRule,334.00,250.50
ETOCQ80X120SC,ETO TWO DOOR QUADRANT 800X1200MM SILVER WITH CLEAR GLASS COMPLETE,,ETO SILVER RANGE,PriceRule,1126.00,844.50
ETOOCQ90SC,ETO SINGLE CENTRE OPEN QUADRANT 900MM SILVER WITH CLEAR GLASS COMPLETE,,ETO SILVER RANGE,PriceRule,1012.00,759.00
ETOOCQ100SC,ETO SINGLE CENTRE OPEN QUADRANT 1000MM SILVER WITH CLEAR GLASS COMPLETE,,ETO SILVER RANGE,PriceRule,1066.00,799.50
ETOCE90SC,ETO CORNER ENTRY 900MM SILVER WITH CLEAR GLASS COMPLETE,,ETO SILVER RANGE,PriceRule,1058.00,793.50
ETOCE80SC,ETO CORNER ENTRY 800MM SILVER WITH CLEAR GLASS COMPLETE,,ETO SILVER RANGE,PriceRule,1012.00,759.00
CHHQ80X120S,CHIANTI HINGE QUADRANT 80X120CM SILVER  COMPLETE,,CHIANTI RANGE,PriceRule,924.00,693.00
CHHQ80X100S,CHIANTI HINGE QUADRANT 80X100CM SILVER  COMPLETE,,CHIANTI RANGE,PriceRule,924.00,693.00
CHHQ100S,CHIANTI HINGE QUADRANT 100CM SILVER  COMPLETE,,CHIANTI RANGE,PriceRule,862.00,646.50
CHBF110S,CHIANTI BI FOLD 110CM SIL,5099846032462,CHIANTI RANGE,PriceRule,752.00,564.00
CHBF100S,CHIANTI BI FOLD 100 SILVER,5099846032363,CHIANTI RANGE,PriceRule,707.00,530.25
OROSA140RSC,ORO SLIDER DOOR 1400MM RIGHT HAND BRIGHT SILVER WITH CLEAR GLASS COMPLETE,,ORO DOOR RANGE,PriceRule,1228.00,921.00
OROBF90SC,ORO BI FOLD DOOR 900MM BRIGHT SILVER WITH CLEAR GLASS,5099846040696,ORO DOOR RANGE,PriceRule,1125.00,843.75
OROBF80SC,ORO BI FOLD DOOR 80CM BRIGHT SILVER WITH CLEAR GLASS,5099846040689,ORO DOOR RANGE,PriceRule,1106.00,829.50
NSA180SC,NAMARA SLIDEAWAY 180 SIL  COMPLETE 1950mm,,NAMARA RANGE 1950 RANGE,PriceRule,1314.00,985.50
NSA170SC,NAMARA SLIDEAWAY 170 SIL  COMPLETE 1950mm,,NAMARA RANGE 1950 RANGE,PriceRule,1266.00,949.50
NCE70X90SC,NaMara Corn Ent 70x90cm Silver 8mm COMPLETE 1950mm,,NAMARA RANGE 1950 RANGE,PriceRule,1142.00,856.50
NCE70X100SC,NaMara Corner Entry 70x100cm Silver 8mm 1950mm COMPLETE,,NAMARA RANGE 1950 RANGE,PriceRule,1164.00,873.00
NHD160SC,NAMARA HINGE & INLINE 160CM SILVER 1950MM COMPLETE,,NAMARA RANGE 1950 RANGE,PriceRule,1230.00,922.50
NHD90SC,NAMARA HINGE DOOR 90CM SILVER 1950MM,5099846044182,NAMARA RANGE 1950 RANGE,PriceRule,895.00,671.25
NBF120SC,NAMARA BI FOLD 120CM SILVER 1950MM,5099846044083,NAMARA RANGE 1950 RANGE,PriceRule,1142.00,856.50
NBF100SC,NAMARA BI FOLD 100CM SILVER 1950MM,5099846044076,NAMARA RANGE 1950 RANGE,PriceRule,1082.00,811.50
STCE70X120SC,SLIMLINE TELE CE 70X120CM SILVER  COMPLETE 1950MM,,SLIMLINE CAPELLA 1950 RANGE,PriceRule,836.00,627.00
STBF110SC,SLIMLINE TELE BF 110CM SILVER 1950mm,5099846030840,SLIMLINE CAPELLA 1950 RANGE,PriceRule,803.00,602.25
STBF100SC,SLIMLINE TELE BF 100CM SILVER 1950MM,5099846044526,SLIMLINE CAPELLA 1950 RANGE,PriceRule,719.00,539.25
STBF120SC,SLIMLINE TELE BF 120CM SILVER 1950MM,5099846044540,SLIMLINE CAPELLA 1950 RANGE,PriceRule,835.00,626.25
STBF70SC,SLIMLINE TELE BF 70CM SILVER 1950MM,5099846044557,SLIMLINE CAPELLA 1950 RANGE,PriceRule,576.00,432.00
STBF80SC,SLIMLINE TELE BF 80CM SILVER 1950MM,5099846044564,SLIMLINE CAPELLA 1950 RANGE,PriceRule,638.00,478.50
STBF90SC,SLIMLINE TELE BF 90CM SILVER 1950MM,5099846044571,SLIMLINE CAPELLA 1950 RANGE,PriceRule,685.00,513.75
STSP120SC,SLIMLINE TELE SP 120CM SILVER 1950MM,5099846044830,SLIMLINE CAPELLA 1950 RANGE,PriceRule,449.00,336.75
STSP70SC,SLIMLINE TELE SP 70CM SILVER 1950MM,5099846044847,SLIMLINE CAPELLA 1950 RANGE,PriceRule,328.00,246.00
STSP76SC,SLIMLINE TELE 76CM SILVER 1950MM,5099846044854,SLIMLINE CAPELLA 1950 RANGE,PriceRule,328.00,246.00
STSP80SC,SLIMLINE TELE SP 80CM SILVER 1950 MM,5099846044861,SLIMLINE CAPELLA 1950 RANGE,PriceRule,328.00,246.00
STSP90SC,SLIMLINE TELE SP 90CM SILVER 1950MM,5099846044878,SLIMLINE CAPELLA 1950 RANGE,PriceRule,342.00,256.50
MAR7402K2BK,NOW MAR ROUND THERMOSTATIC SHOWER VALVE & KIT MATT BLACK,7427042699178,NOW COLLECTION,PriceRule,221.00,165.75
NCD250SQBK,NOW RECTANGLE DROP CEILING ARM 165mm MATT BLACK,8428506050800,NOW COLLECTION,PriceRule,102.00,76.50
NBORBB,NOW BASIN OVERFLOW RING BRUSHED BRASS,,NOW COLLECTION,PriceRule,14.00,10.50
NBORMB,NOW BASIN OVERFLOW RING MATT BLACK,,NOW COLLECTION,PriceRule,14.00,10.50
PL8I,PL8 SHOWER FIXING KIT (IMPERIAL),5099846075827,NOW COLLECTION,PriceRule,18.00,13.50
PL4I,PL4 SHOWER FAST FIXING KIT (IMPERIAL),5099846075810,NOW COLLECTION,PriceRule,15.00,11.25
PL8,PL8 SHOWER FIXING KIT (METRIC),0094922844844,NOW COLLECTION,PriceRule,26.00,19.50
PL4,PL4 SHOWER FAST FIXING KIT (METRIC),0610074244967,NOW COLLECTION,PriceRule,19.00,14.25
T99BB,NOW MINIMALIST BOTTLE TRAP BRUSHED BRASS,5060900612135,NOW COLLECTION,PriceRule,72.00,54.00
NPLRLG1,NOW PILLAR LEGS CHROME,5060900611305,NOW COLLECTION,PriceRule,41.00,30.75
ALE416,NOW ALEXIA CLAOKROOM BASIN MIXER c/w LUXURY MUSHROOM WASTE CHROME,5060900610933,NOW COLLECTION,PriceRule,150.00,112.50
VBS1BC,"VERVE 6MM ""SINGLE ROTATING BATHSCREEN WITH RADIUS EDGE MATT BLACK",5099846075766,BATHSCREEN RANGE,Product,214.00,160.50
VBS13BC,VERVE 8MM TWO PANEL HINGED BATHSCREEN WITHOUT STABILIZING BAR MATT BLACK,5099846075759,BATHSCREEN RANGE,Product,524.00,393.00
VBS13SC,VERVE 8MM TWO PANEL HINGED BATHSCREEN WITHOUT STABILIZING BAR SILVER,5099846075742,BATHSCREEN RANGE,Product,497.00,372.75
S-VLPSC,VERVE BATHSCREEN L-SHAPE PROFILE WITH COVER STRIP-1500MM  BRIGHT SILVER- 2 PROFILES PER PACK,5060336255302,BATHSCREEN RANGE,Product,58.00,43.50
VBS10SC,VERVE 6MM FIXED  850MM  BATHSCREEN HOTEL WITH SUPPORT BAR BRIGHT SILVER,5099846049101,BATHSCREEN RANGE,Product,187.00,140.25
PBSG5WC,PROMOTION BATHSCREEN FIVE PANEL WHITE ,5099846046438,BATHSCREEN RANGE,Product,271.00,203.25
PBSG5SC,PROMOTION BATHSCREEN FIVE PANEL SILVER ,5099846046421,BATHSCREEN RANGE,Product,291.00,218.25
PBSG4SC,PROMOTION BATHSCREEN FOUR PANEL SILVER ,5099846046407,BATHSCREEN RANGE,Product,232.00,174.00
VBS12SC,VERVE 6MM SINGLE SAIL ROTATING  BATHSCREEN WITH TOWEL RAIL,5099846046391,BATHSCREEN RANGE,Product,222.00,166.50
VBS9SC,VERVE 6MM  HOTEL 300MM BATHSCREEN WITH STAINLESS STEEL CURTAIN RAIL AND ZINC ALLOY GLASS CLAMP AND BRACKETS,5099846046384,BATHSCREEN RANGE,Product,187.00,140.25
VBF100SC,VERVE BI FOLD 1000MM SILVER,5099846045103,VERVE SILVER RANGE,Product,455.00,341.25
HYSP100SC,HYDRO EXPRESS FRAMELESS SP 1000MM SILVER,5099846078392,HYDRO EXPRESS RANGE,Product,292.00,219.00
HYPD76SC,HYDRO EXPRESS PIVOT DOOR 760MM SILVER,5099846045516,HYDRO EXPRESS RANGE,Product,349.00,261.75
HYCE76SC,HYDRO EXPRESS CORNER ENTRY 760MM SILVER,5099846045431,HYDRO EXPRESS RANGE,Product,384.00,288.00
TSL9076R,900 X 760mm Slimline Rectangle Tray,5099846009488,TRAY SLIM RANGE,Product,227.00,170.25
TSL17075R,1700 X 750mm Slimline Rectangle Tray,5099846009372,TRAY SLIM RANGE,Product,419.00,314.25
TSL17070R,1700 X 700mm Slimline Rectangle Tray,5099846009365,TRAY SLIM RANGE,Product,419.00,314.25
BP5FWH,BATH PANEL FRONT WHITE,5099846000744,BATH PANEL RANGE,Product,53.00,39.75
BP5EWH,BATH PANEL END WHITE & ANGLE,5099846000645,BATH PANEL RANGE,Product,32.00,24.00